graph_type,num_nodes,num_edges,exact_vc_size,dg_size,dg_ratio,ctqw_ratio,approx2_ratio,fastvc_ratio,sa_ratio
ER,15,47,10,11,1.1,1.0,1.4,1.1,1.1
ER,15,40,9,9,1.0,1.0,1.5555555555555556,1.1111111111111112,1.0
ER,15,46,10,10,1.0,1.0,1.4,1.1,1.0
ER,15,50,10,11,1.1,1.0,1.4,1.1,1.0
ER,15,46,10,11,1.1,1.1,1.2,1.2,1.1
ER,15,39,9,9,1.0,1.0,1.5555555555555556,1.0,1.0
ER,15,49,10,10,1.0,1.0,1.2,1.0,1.0
ER,15,45,10,10,1.0,1.0,1.4,1.1,1.0
ER,15,43,9,9,1.0,1.0,1.3333333333333333,1.1111111111111112,1.0
ER,15,58,11,11,1.0,1.0,1.2727272727272727,1.0,1.0
ER,15,52,10,10,1.0,1.0,1.4,1.2,1.0
ER,15,52,11,11,1.0,1.0,1.2727272727272727,1.0,1.0
ER,15,58,11,11,1.0,1.0,1.2727272727272727,1.1818181818181819,1.0
ER,15,61,10,10,1.0,1.0,1.4,1.2,1.0
ER,15,58,10,11,1.1,1.1,1.4,1.0,1.0
ER,15,64,11,12,1.0909090909090908,1.0909090909090908,1.2727272727272727,1.0909090909090908,1.0
ER,15,71,12,12,1.0,1.0,1.1666666666666667,1.0833333333333333,1.0
ER,15,67,11,11,1.0,1.0,1.2727272727272727,1.0909090909090908,1.0
ER,15,68,10,10,1.0,1.0,1.4,1.2,1.0
ER,15,74,11,12,1.0909090909090908,1.0,1.2727272727272727,1.0909090909090908,1.0
ER,15,69,11,11,1.0,1.0,1.2727272727272727,1.0909090909090908,1.0
ER,15,72,12,12,1.0,1.0,1.1666666666666667,1.0,1.0
ER,15,81,12,12,1.0,1.0,1.1666666666666667,1.0833333333333333,1.0
ER,15,78,11,11,1.0,1.0,1.2727272727272727,1.0909090909090908,1.0
ER,15,78,12,12,1.0,1.0,1.1666666666666667,1.0833333333333333,1.0
ER,16,33,10,10,1.0,1.0,1.4,1.1,1.0
ER,16,40,10,11,1.1,1.0,1.4,1.1,1.1
ER,16,47,11,11,1.0,1.0,1.4545454545454546,1.0909090909090908,1.0
ER,16,40,10,10,1.0,1.0,1.4,1.0,1.0
ER,16,55,11,11,1.0,1.0,1.2727272727272727,1.0,1.0
ER,16,51,11,11,1.0,1.0,1.4545454545454546,1.0,1.0
ER,16,47,10,10,1.0,1.0,1.4,1.0,1.0
ER,16,50,10,10,1.0,1.0,1.4,1.2,1.0
ER,16,56,11,11,1.0,1.0,1.2727272727272727,1.0909090909090908,1.0909090909090908
ER,16,53,11,11,1.0,1.0,1.4545454545454546,1.0,1.0
ER,16,45,11,12,1.0909090909090908,1.0,1.2727272727272727,1.0,1.0
ER,16,56,11,11,1.0,1.0,1.0909090909090908,1.0909090909090908,1.0
ER,16,55,11,11,1.0,1.0,1.4545454545454546,1.1818181818181819,1.0
ER,16,50,10,10,1.0,1.0,1.4,1.0,1.0
ER,16,68,12,12,1.0,1.0833333333333333,1.3333333333333333,1.0833333333333333,1.0833333333333333
ER,16,60,11,11,1.0,1.0,1.4545454545454546,1.0,1.0
ER,16,61,10,10,1.0,1.0,1.6,1.1,1.0
ER,16,63,11,12,1.0909090909090908,1.0,1.2727272727272727,1.0,1.0
ER,16,68,12,12,1.0,1.0,1.1666666666666667,1.0,1.0
ER,16,67,12,12,1.0,1.0,1.3333333333333333,1.0833333333333333,1.0
ER,16,76,12,13,1.0833333333333333,1.0,1.3333333333333333,1.1666666666666667,1.0
ER,16,82,13,13,1.0,1.0,1.0769230769230769,1.0,1.0
ER,16,78,13,13,1.0,1.0,1.2307692307692308,1.0,1.0
ER,16,81,13,13,1.0,1.0,1.2307692307692308,1.0,1.0
ER,16,86,13,14,1.0769230769230769,1.0,1.2307692307692308,1.0,1.0
ER,16,78,12,12,1.0,1.0,1.3333333333333333,1.0,1.0
ER,16,84,13,13,1.0,1.0,1.2307692307692308,1.0,1.0
ER,16,91,12,12,1.0,1.0,1.1666666666666667,1.0,1.0
ER,16,86,13,13,1.0,1.0,1.2307692307692308,1.0769230769230769,1.0
ER,16,88,12,12,1.0,1.0,1.1666666666666667,1.1666666666666667,1.0
ER,17,43,10,10,1.0,1.1,1.6,1.1,1.0
ER,17,51,10,10,1.0,1.0,1.6,1.3,1.0
ER,17,52,11,12,1.0909090909090908,1.0909090909090908,1.2727272727272727,1.1818181818181819,1.0909090909090908
ER,17,47,10,10,1.0,1.0,1.6,1.0,1.0
ER,17,65,12,12,1.0,1.0,1.3333333333333333,1.0,1.0
