graph_type,num_nodes,param,num_edges,reference_size,exact_used,CTQW_size,CTQW_time,CTQW_ratio,CTQW_valid,Degree-Greedy_size,Degree-Greedy_time,Degree-Greedy_ratio,Degree-Greedy_valid,2-Approx_size,2-Approx_time,2-Approx_ratio,2-Approx_valid,FastVC_size,FastVC_time,FastVC_ratio,FastVC_valid,SA_size,SA_time,SA_ratio,SA_valid
ER,9,0.7,22,6,True,6,0.02019041497260332,1.0,True,6,0.000126063940115273,1.0,True,8,8.492707274854183e-05,1.3333333333333333,True,7,7.975893095135689e-05,1.1666666666666667,True,6,0.006285574985668063,1.0,True
ER,9,0.7,24,6,True,6,0.022294733091257513,1.0,True,6,0.00013269903138279915,1.0,True,8,6.732693873345852e-05,1.3333333333333333,True,6,8.353102020919323e-05,1.0,True,6,0.006478686933405697,1.0,True
ER,9,0.7,31,7,True,7,0.022626479039900005,1.0,True,7,0.00020833592861890793,1.0,True,8,0.00046004389878362417,1.1428571428571428,True,7,9.980297181755304e-05,1.0,True,7,0.0071883429773151875,1.0,True
ER,9,0.7,29,6,True,6,0.0205146879889071,1.0,True,6,0.00012250104919075966,1.0,True,8,7.165793795138597e-05,1.3333333333333333,True,7,8.925702422857285e-05,1.1666666666666667,True,6,0.0068195119965821505,1.0,True
ER,9,0.7,26,6,True,6,0.020618541981093585,1.0,True,6,0.0001329079968854785,1.0,True,8,6.928294897079468e-05,1.3333333333333333,True,7,8.429796434938908e-05,1.1666666666666667,True,6,0.006906743976287544,1.0,True
ER,14,0.3,20,6,True,6,0.02479071996640414,1.0,True,7,0.00013877497985959053,1.1666666666666667,True,10,7.591804023832083e-05,1.6666666666666667,True,7,9.34479758143425e-05,1.1666666666666667,True,6,0.00733766402117908,1.0,True
ER,14,0.3,20,6,True,6,0.02436091797426343,1.0,True,7,0.00014582904987037182,1.1666666666666667,True,10,7.717497646808624e-05,1.6666666666666667,True,7,9.491399396210909e-05,1.1666666666666667,True,6,0.007370001054368913,1.0,True
ER,14,0.3,20,6,True,6,0.026192993973381817,1.0,True,7,0.00016000610776245594,1.1666666666666667,True,10,8.457794319838285e-05,1.6666666666666667,True,7,0.00010280602145940065,1.1666666666666667,True,6,0.007308610016480088,1.0,True
ER,14,0.3,23,7,True,7,0.028576886979863048,1.0,True,7,0.0001337460707873106,1.0,True,12,8.436792995780706e-05,1.7142857142857142,True,7,0.00010581000242382288,1.0,True,7,0.007658095913939178,1.0,True
ER,14,0.3,30,9,True,9,0.03624895098619163,1.0,True,9,0.00015825999435037374,1.0,True,12,8.918705862015486e-05,1.3333333333333333,True,9,0.00011642498429864645,1.0,True,9,0.008491022977977991,1.0,True
ER,14,0.3,29,9,True,9,0.03587446198798716,1.0,True,9,0.00015225401148200035,1.0,True,12,8.674303535372019e-05,1.3333333333333333,True,10,0.00011467898730188608,1.1111111111111112,True,9,0.008212078013457358,1.0,True
ER,14,0.3,22,8,True,8,0.03261971799656749,1.0,True,8,0.00014086998999118805,1.0,True,12,8.150492794811726e-05,1.5,True,8,9.854603558778763e-05,1.0,True,8,0.007565765990875661,1.0,True
ER,14,0.3,31,8,True,8,0.03179307689424604,1.0,True,9,0.00015693402383476496,1.125,True,12,8.876796346157789e-05,1.5,True,8,0.00011796201579272747,1.0,True,8,0.008141885977238417,1.0,True
ER,14,0.3,34,8,True,8,0.03222867695149034,1.0,True,8,0.00014757399912923574,1.0,True,12,0.00011118804104626179,1.5,True,9,0.00011956796515733004,1.125,True,8,0.008678897051140666,1.0,True
