inst_id,graph_type,num_nodes,is_optimal,ratio,step,n_active,H,H_max,H_norm,D_kl,rel_delta,vertex,best_prob
315,ER,54,True,1.0,11,43,3.760412364398897,3.7612001156935624,0.9997905585264186,0.0007877512946655022,0.0020131792257501264,20,4.967136126854399e-06
315,ER,54,True,1.0,12,42,3.7366956535346163,3.7376696182833684,0.9997394192509719,0.0009739647487517027,0.0039053825965706165,12,5.162683845760796e-06
315,ER,54,True,1.0,13,41,3.7124449229495102,3.713572066704308,0.999696479902759,0.001127143754797901,0.010430242481721913,35,5.423910279467314e-06
315,ER,54,True,1.0,14,40,3.687454773626043,3.6888794541139363,0.9996137904462277,0.0014246804878931436,0.00977084783679162,45,5.6590124964950306e-06
315,ER,54,True,1.0,15,39,3.6617806075908876,3.6635616461296463,0.9995138505337722,0.0017810385387586796,0.006497753420084432,4,6.030588205252485e-06
315,ER,54,True,1.0,16,38,3.6351325765692497,3.6375861597263857,0.999325491397482,0.002453583157136006,0.007032497487728879,51,6.545463071327973e-06
315,ER,54,True,1.0,17,37,3.607343919643609,3.6109179126442243,0.9990102259073516,0.0035739930006155746,0.02032384379386499,48,7.520651339132378e-06
315,ER,54,True,1.0,18,36,3.5765996003973357,3.58351893845611,0.9980691219503488,0.006919338058774392,0.36268410089182607,8,9.750046832901482e-06
315,ER,54,True,1.0,19,34,3.5258966005671453,3.5263605246161616,0.9998684411177536,0.00046392404901640075,0.029310268711590672,15,6.418707028998938e-06
315,ER,54,True,1.0,20,33,3.496006244445173,3.4965075614664802,0.9998566234985927,0.0005013170213073361,0.010471971442621793,50,6.441531205214623e-06
315,ER,54,True,1.0,21,32,3.465004067447302,3.4657359027997265,0.9997888369532619,0.0007318353524245181,8.926943903825767e-05,36,6.613962353574365e-06
315,ER,54,True,1.0,22,31,3.4331126319053715,3.4339872044851463,0.9997453186259306,0.0008745725797745806,0.002627766776035537,38,7.047308671181973e-06
315,ER,54,True,1.0,23,30,3.4000973681603606,3.4011973816621555,0.9996765805161072,0.001100013501794732,0.03292532886013812,18,7.439505916306821e-06
315,ER,54,True,1.0,24,29,3.365833463477468,3.367295829986474,0.9995657148694855,0.0014623665090062038,0.0008250682919861256,11,7.6241795662346235e-06
315,ER,54,True,1.0,25,28,3.330239941743741,3.332204510175204,0.9994104298144175,0.0019645684314630154,0.012448111972993982,21,8.204455728133553e-06
315,ER,54,True,1.0,26,27,3.2930248107949027,3.295836866004329,0.9991467856803132,0.002812055209425934,0.010646866307619657,13,9.057202976392453e-06
315,ER,54,True,1.0,27,26,3.2530942499467064,3.258096538021482,0.9984646593443749,0.005002288074775152,0.03917103934973937,29,1.0082243821374348e-05
315,ER,54,True,1.0,28,25,3.209608747684831,3.2188758248682006,0.9971210206023562,0.009267077183369719,0.3469892267356041,33,1.3045439299252948e-05
315,ER,54,True,1.0,29,23,3.1347815489822555,3.1354942159291497,0.9997727098512019,0.000712666946893408,0.00992063535296379,26,9.221892082966754e-06
315,ER,54,True,1.0,30,22,3.090210194734313,3.091042453358316,0.9997307514741187,0.0008322586240027529,0.0138770636670986,32,9.998533577859625e-06
315,ER,54,True,1.0,31,21,3.0427092062700654,3.044522437723423,0.9994044282837627,0.0018132314533575709,0.028418869475607993,6,1.0635570270700612e-05
315,ER,54,True,1.0,32,20,2.9933643921023276,2.995732273553991,0.9992095817531604,0.002367881451663313,0.017556223521787304,5,1.124303040067609e-05
315,ER,54,True,1.0,33,19,2.940969131446709,2.9444389791664403,0.9988215589644471,0.0034698477197311617,0.031078859747233335,30,1.2049729602336967e-05
315,ER,54,True,1.0,34,18,2.886285245862979,2.8903717578961645,0.9985861638655921,0.004086512033185497,0.013363254193287212,7,1.3262519393375527e-05
315,ER,54,True,1.0,35,17,2.8263009031100417,2.833213344056216,0.9975602116371942,0.006912440946174879,0.057580395920422765,19,1.5290271107915032e-05
315,ER,54,True,1.0,36,16,2.757846363996749,2.772588722239781,0.9946828182179422,0.014742358243031897,0.054053908111199686,14,1.9576566090528935e-05
315,ER,54,True,1.0,37,15,2.6931209100794837,2.70805020110221,0.9944870700636753,0.014929291022726793,0.04075439079157543,49,1.89328029698288e-05
315,ER,54,True,1.0,38,14,2.6143051379728086,2.6390573296152584,0.9906208207890435,0.024752191642450266,0.32260824359078555,47,2.5352463050798413e-05
315,ER,54,True,1.0,39,12,2.4730585548697106,2.4849066497880004,0.9952319758493541,0.011848094918289536,0.01856542328224302,25,2.015286265333316e-05
315,ER,54,True,1.0,40,11,2.375016850005968,2.3978952727983707,0.9904589566308692,0.022878422792402524,0.2633569185887207,24,2.9920280640638452e-05
315,ER,54,True,1.0,41,9,2.188324610590445,2.1972245773362196,0.9959494505761608,0.008899966745773986,0.09195360341610032,9,2.41663817678317e-05
315,ER,54,True,1.0,42,8,2.060494818569636,2.0794415416798357,0.9908885521759394,0.018946723110199723,1.5313627812825814e-11,17,2.8999608406188315e-05
315,ER,54,True,1.0,43,7,1.8966409869398222,1.9459101490553132,0.9746806592589027,0.04926916211549095,0.21897649927736623,37,4.566588909382663e-05
315,ER,54,True,1.0,44,5,1.5576918734946603,1.6094379124341003,0.9678483782818439,0.05174603893944013,0.2857109693623229,43,5.8332106492864355e-05
315,ER,54,True,1.0,45,3,1.0397229369274235,1.0986122886681098,0.9463966020150019,0.05888935174068617,0.4999937498971752,0,9.999666671134388e-05
316,ER,54,True,1.0,0,54,3.9888630042972553,3.9889840465642745,0.999969655865853,0.0001210422670187385,0.0012816693040674822,35,3.7812285746952057e-06
316,ER,54,True,1.0,1,53,3.9701552021221715,3.970291913552122,0.9999655664034466,0.00013671142995087934,0.0017856619019023866,29,3.871555192436205e-06
316,ER,54,True,1.0,2,52,3.951095130075914,3.9512437185814275,0.999962394497506,0.00014858850551310653,0.0032585111612529753,33,3.991005871228914e-06
316,ER,54,True,1.0,3,51,3.931639801787105,3.9318256327243257,0.9999527367298097,0.00018583093722052442,0.0018139600748782784,20,4.0616971773710375e-06
