graph_type,num_nodes,param,num_edges,reference_size,exact_ref,t_opt_theory,ratio_t0.001000,ratio_t0.001374,ratio_t0.001887,ratio_t0.002593,ratio_t0.003562,ratio_t0.004894,ratio_t0.006723,ratio_t0.009237,ratio_t0.012690,ratio_t0.017433,ratio_t0.023950,ratio_t0.032903,ratio_t0.045204,ratio_t0.062102,ratio_t0.085317,ratio_t0.117210,ratio_t0.161026,ratio_t0.221222,ratio_t0.303920,ratio_t0.417532,ratio_t0.573615,ratio_t0.788046,ratio_t1.082637,ratio_t1.487352,ratio_t2.043360,ratio_t2.807216,ratio_t3.856620,ratio_t5.298317,ratio_t7.278954,ratio_t10.000000
ER,20,0.5,100,15,True,0.3847050173668708,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0666666666666667,1.1333333333333333,1.2666666666666666,1.2666666666666666,1.2,1.2
ER,20,0.5,101,15,True,0.3847050173668708,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.1333333333333333,1.2666666666666666,1.2666666666666666,1.1333333333333333,1.2666666666666666
ER,30,0.5,213,24,False,0.33246067325301887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0833333333333333,1.2083333333333333,1.2083333333333333,1.0,1.1666666666666667
ER,30,0.5,218,24,False,0.33246067325301887,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0,1.0,1.0416666666666667,1.0833333333333333,1.2083333333333333,1.2083333333333333,1.0833333333333333,1.1666666666666667
ER,30,0.5,216,24,False,0.33246067325301887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0416666666666667,1.125,1.2083333333333333,1.2083333333333333,1.2083333333333333,1.125
ER,30,0.5,216,24,False,0.33246067325301887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0416666666666667,1.0416666666666667,1.2083333333333333,1.2083333333333333,1.0833333333333333,1.1666666666666667
ER,30,0.5,206,24,False,0.33246067325301887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.125,1.2083333333333333,1.2083333333333333,1.2083333333333333,1.1666666666666667
ER,30,0.5,213,23,False,0.33246067325301887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0869565217391304,1.2608695652173914,1.2608695652173914,1.1304347826086956,1.2173913043478262
ER,30,0.5,216,24,False,0.33246067325301887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0833333333333333,1.2083333333333333,1.2083333333333333,1.0833333333333333,1.0833333333333333
ER,30,0.5,236,24,False,0.33246067325301887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0833333333333333,1.2083333333333333,1.2083333333333333,1.2083333333333333,1.125
