graph_type,num_nodes,param,num_edges,milp_ref,cover_size,ratio,is_optimal,matching_lb,lb_tight,n_steps,min_delta,min_gap,n_uncertain
ER,14,0.7,68,11,11,1.0,True,7,False,11,0.0,0.5880327601789584,11
ER,14,0.7,68,11,12,1.0909090909090908,False,7,False,12,0.0,0.6236301029378358,12
ER,19,0.3,44,12,12,1.0,True,9,False,12,2.220446049250313e-16,0.2505924542847961,12
ER,19,0.3,54,12,12,1.0,True,9,False,12,2.220446049250313e-16,0.24837587269857198,12
ER,19,0.3,51,11,11,1.0,True,9,False,11,2.220446049250313e-16,0.32965201242481884,11
ER,19,0.3,43,11,12,1.0909090909090908,False,9,False,12,2.220446049250313e-16,0.316884933895994,12
ER,19,0.3,61,11,11,1.0,True,9,False,11,3.3146878575252003e-09,0.3895470461947805,11
ER,19,0.3,49,12,12,1.0,True,9,False,12,0.0,0.42565835509264405,12
ER,19,0.3,45,11,11,1.0,True,9,False,11,2.220446049250313e-16,0.14621546001085825,11
ER,19,0.3,62,13,13,1.0,True,9,False,13,0.0,1.816077040376834e-16,13
ER,19,0.3,57,12,12,1.0,True,9,False,12,2.220446049250313e-16,0.4685145211456898,12
ER,19,0.3,60,13,13,1.0,True,9,False,13,0.0,0.4139946911113524,13
ER,19,0.5,75,13,13,1.0,True,9,False,13,2.220446049250313e-16,0.3782000983347208,13
ER,19,0.5,86,13,13,1.0,True,9,False,13,0.0,0.4141273640411789,13
ER,19,0.5,81,14,14,1.0,True,9,False,14,2.220446049250313e-16,0.49999999999999983,14
ER,19,0.5,80,13,13,1.0,True,9,False,13,0.0,0.5132447708620057,13
ER,19,0.5,91,14,14,1.0,True,9,False,14,2.220446049250313e-16,0.49999999999999994,14
ER,19,0.5,83,14,14,1.0,True,9,False,14,0.0,0.3459426679966239,14
ER,19,0.5,86,14,14,1.0,True,9,False,14,2.220446049250313e-16,0.2625951831836584,14
ER,19,0.5,97,14,14,1.0,True,9,False,14,0.0,0.3906780676523695,14
ER,19,0.5,92,13,13,1.0,True,9,False,13,2.220446049250313e-16,0.46747366562865506,13
ER,19,0.5,93,15,15,1.0,True,9,False,15,0.0,0.516084659062648,15
ER,19,0.7,115,15,15,1.0,True,9,False,15,0.0,0.49999999999999994,15
ER,19,0.7,123,15,16,1.0666666666666667,False,9,False,16,2.220446049250313e-16,0.47630707586430887,16
ER,19,0.7,115,15,15,1.0,True,9,False,15,2.220446049250313e-16,0.561685590694702,15
ER,19,0.7,120,15,15,1.0,True,9,False,15,2.220446049250313e-16,0.3797313822960984,15
ER,19,0.7,118,15,16,1.0666666666666667,False,9,False,16,2.220446049250313e-16,0.6417424305044157,16
ER,19,0.7,111,15,15,1.0,True,9,False,15,2.220446049250313e-16,0.5301684580808714,15
