graph_type,num_nodes,param,num_edges,milp_ref,size_fixed,ratio_fixed,opt_fixed,size_adaptive,ratio_adaptive,opt_adaptive,n_adapted,n_steps,mean_t_used,mean_delta
ER,24,0.3,74,16,16,1.0,True,16,1.0,True,16,16,1.50125,0.04763316422021382
ER,24,0.3,88,15,16,1.0666666666666667,False,15,1.0,True,15,15,1.5,0.04821148348647735
ER,24,0.3,77,16,16,1.0,True,16,1.0,True,16,16,1.345,0.05407326891234383
ER,24,0.3,82,16,16,1.0,True,16,1.0,True,15,16,1.4693749999999999,0.05015309574078087
ER,24,0.3,92,16,16,1.0,True,16,1.0,True,14,16,1.47,0.0438059998553708
ER,24,0.3,82,16,16,1.0,True,16,1.0,True,15,16,1.5631249999999999,0.05783967659072268
ER,24,0.3,93,17,17,1.0,True,17,1.0,True,16,17,1.325294117647059,0.034783498580365085
ER,24,0.5,128,18,18,1.0,True,18,1.0,True,17,18,1.583888888888889,0.03427428053258109
ER,24,0.5,139,18,18,1.0,True,19,1.0555555555555556,False,18,19,1.6057894736842107,0.02509255205644217
ER,24,0.5,140,18,18,1.0,True,19,1.0555555555555556,False,17,19,1.4231578947368422,0.016464012512651557
ER,24,0.5,135,18,18,1.0,True,18,1.0,True,17,18,1.3727777777777777,0.029989483765282696
ER,24,0.5,141,18,18,1.0,True,19,1.0555555555555556,False,18,19,1.2910526315789475,0.018863679873243083
ER,24,0.5,135,18,18,1.0,True,18,1.0,True,18,18,1.4305555555555556,0.03134716396465998
ER,24,0.5,142,18,19,1.0555555555555556,False,19,1.0555555555555556,False,18,19,1.4268421052631581,0.027414856119817654
ER,24,0.5,145,19,19,1.0,True,19,1.0,True,17,19,1.4747368421052633,0.022160829827480272
ER,24,0.5,138,18,18,1.0,True,18,1.0,True,17,18,1.3405555555555557,0.02958905246466942
ER,24,0.5,148,19,19,1.0,True,19,1.0,True,18,19,1.6321052631578947,0.03282646534652421
ER,24,0.7,189,19,19,1.0,True,20,1.0526315789473684,False,18,20,1.451,0.016268631897806734
ER,24,0.7,189,20,20,1.0,True,20,1.0,True,19,20,1.4115,0.01350272549685449
ER,24,0.7,195,20,20,1.0,True,20,1.0,True,20,20,1.6,0.019528075908318517
ER,24,0.7,193,19,19,1.0,True,19,1.0,True,19,19,1.5105263157894737,0.023852582369737946
ER,24,0.7,187,20,20,1.0,True,20,1.0,True,20,20,1.5325000000000002,0.016269829465561225
