family,n_param,num_nodes,num_edges,exact_vc_size,is_bipartite,is_regular,CTQW_size,CTQW_time,CTQW_ratio,CTQW_valid,Degree-Greedy_size,Degree-Greedy_time,Degree-Greedy_ratio,Degree-Greedy_valid,2-Approx_size,2-Approx_time,2-Approx_ratio,2-Approx_valid,SA_size,SA_time,SA_ratio,SA_valid
3-Regular,12,12,18,7,False,True,7,0.025390516966581345,1.0,True,8,0.00010916200699284673,1.1428571428571428,True,12,8.534599328413606e-05,1.7142857142857142,True,7,0.006784522032830864,1.0,True
3-Regular,12,12,18,7,False,True,7,0.02778740000212565,1.0,True,8,0.00012012699153274298,1.1428571428571428,True,8,6.676797056570649e-05,1.1428571428571428,True,8,0.007466731010936201,1.1428571428571428,True
3-Regular,12,12,18,7,False,True,7,0.02631221298361197,1.0,True,7,0.00012836797395721078,1.0,True,10,8.003797847777605e-05,1.4285714285714286,True,8,0.007859169039875269,1.1428571428571428,True
3-Regular,12,12,18,7,False,True,8,0.029109635041095316,1.1428571428571428,True,8,0.00011426105629652739,1.1428571428571428,True,10,6.858399137854576e-05,1.4285714285714286,True,7,0.007008991960901767,1.0,True
3-Regular,12,12,18,7,False,True,7,0.02910439798142761,1.0,True,7,0.0001276700058951974,1.0,True,8,6.676797056570649e-05,1.1428571428571428,True,7,0.007110260950867087,1.0,True
3-Regular,12,12,18,7,False,True,8,0.02898699400248006,1.1428571428571428,True,8,0.0001161459949798882,1.1428571428571428,True,10,6.816501263529062e-05,1.4285714285714286,True,8,0.007303721969947219,1.1428571428571428,True
3-Regular,12,12,18,7,False,True,7,0.02669941302156076,1.0,True,8,0.00012208300177007914,1.1428571428571428,True,10,7.137696957215667e-05,1.4285714285714286,True,7,0.007544883002992719,1.0,True
3-Regular,14,14,21,8,False,True,8,0.0327547219931148,1.0,True,9,0.00013123202370479703,1.125,True,12,7.535901386290789e-05,1.5,True,9,0.007686941011343151,1.125,True
3-Regular,14,14,21,8,False,True,9,0.03941646299790591,1.125,True,9,0.00014003203250467777,1.125,True,12,9.34479758143425e-05,1.5,True,9,0.008211028994992375,1.125,True
3-Regular,14,14,21,8,False,True,8,0.03266497497679666,1.0,True,8,0.00012250099098309875,1.0,True,12,7.584801642224193e-05,1.5,True,9,0.00778520799940452,1.125,True
3-Regular,14,14,21,8,False,True,8,0.035140569030772895,1.0,True,8,0.00013151101302355528,1.0,True,12,7.97589891590178e-05,1.5,True,9,0.007883753976784647,1.125,True
3-Regular,14,14,21,9,False,True,9,0.036346099979709834,1.0,True,10,0.00014387298142537475,1.1111111111111112,True,12,8.297199383378029e-05,1.3333333333333333,True,9,0.008289601013530046,1.0,True
3-Regular,14,14,21,9,False,True,9,0.03603844897588715,1.0,True,9,0.00013297796249389648,1.0,True,12,7.717503467574716e-05,1.3333333333333333,True,9,0.007758667983580381,1.0,True
3-Regular,14,14,21,8,False,True,8,0.03575244901003316,1.0,True,8,0.00013695796951651573,1.0,True,12,8.066697046160698e-05,1.5,True,8,0.008704947016667575,1.0,True
3-Regular,14,14,21,8,False,True,8,0.03451032197335735,1.0,True,8,0.0001381459878757596,1.0,True,12,9.10729868337512e-05,1.5,True,8,0.007972660998348147,1.0,True
3-Regular,14,14,21,8,False,True,9,0.037848316016606987,1.125,True,9,0.00013472395949065685,1.125,True,12,9.400601265951991e-05,1.5,True,9,0.00781230500433594,1.125,True
3-Regular,14,14,21,8,False,True,8,0.03304267697967589,1.0,True,9,0.00014394300524145365,1.125,True,12,7.843103958293796e-05,1.5,True,9,0.008248114958405495,1.125,True
3-Regular,16,16,24,9,False,True,9,0.041110880963969976,1.0,True,10,0.00016056501772254705,1.1111111111111112,True,16,0.00013032398419454694,1.7777777777777777,True,10,0.008922503038775176,1.1111111111111112,True
3-Regular,16,16,24,9,False,True,9,0.04160004900768399,1.0,True,9,0.00016538496129214764,1.0,True,14,9.226100519299507e-05,1.5555555555555556,True,10,0.008997162978630513,1.1111111111111112,True
3-Regular,16,16,24,9,False,True,9,0.04606088204309344,1.0,True,9,0.00021476199617609382,1.0,True,14,9.87559906207025e-05,1.5555555555555556,True,9,0.008746362989768386,1.0,True
