graph_type,param,V,E,vbs_size,sp_size,sp_ratio,sp_valid,sp_time,dg_size,dg_ratio,dg_valid,dg_time,sa_size,sa_ratio,sa_valid,sa_time,sp_lt_dg,sp_eq_dg,sp_gt_dg
ER,0.01,2000,20199,1605,1605,1.0,True,0.009240978979505599,1653,1.0299065420560747,True,0.009939181967638433,1699,1.0585669781931464,True,0.4876050589373335,1,0,0
ER,0.01,2000,19988,1607,1607,1.0,True,0.011833487078547478,1654,1.029247044181705,True,0.009918927913531661,1655,1.029869321717486,True,0.4871112809050828,1,0,0
ER,0.01,2000,19789,1604,1604,1.0,True,0.009691664017736912,1644,1.0249376558603491,True,0.011678509996272624,1656,1.032418952618454,True,0.4725929549895227,1,0,0
ER,0.01,2000,20076,1608,1608,1.0,True,0.00952872505877167,1643,1.0217661691542288,True,0.00992961402516812,1643,1.0217661691542288,True,0.47970691800583154,1,0,0
ER,0.0075,2000,14629,1515,1515,1.0,True,0.006482249009422958,1562,1.031023102310231,True,0.007861753110773861,1646,1.0864686468646865,True,0.342305516009219,1,0,0
ER,0.0075,2000,14912,1524,1524,1.0,True,0.006323498906567693,1567,1.0282152230971129,True,0.007974267937242985,1572,1.031496062992126,True,0.3500445589888841,1,0,0
ER,0.0075,2000,15207,1527,1527,1.0,True,0.006581492023542523,1562,1.022920759659463,True,0.00799326493870467,1562,1.022920759659463,True,0.3914115480147302,1,0,0
ER,0.0075,2000,15086,1529,1529,1.0,True,0.007532172021456063,1565,1.0235448005232177,True,0.008199017029255629,1675,1.0954872465663832,True,0.40629521396476775,1,0,0
ER,0.0075,2000,15220,1528,1528,1.0,True,0.006692262017168105,1571,1.0281413612565444,True,0.008237080997787416,1585,1.037303664921466,True,0.37804329895880073,1,0,0
ER,0.003,5000,37104,3811,3811,1.0,True,0.022982810041867197,3917,1.0278142219889792,True,0.052781009930185974,4118,1.0805562844397796,True,1.2455080889631063,1,0,0
ER,0.003,5000,37625,3823,3823,1.0,True,0.025101025006733835,3927,1.027203766675386,True,0.05227934010326862,4053,1.060162176301334,True,1.1829453880200163,1,0,0
ER,0.003,5000,37314,3814,3814,1.0,True,0.0282219530781731,3905,1.023859465128474,True,0.0484440759755671,4049,1.0616151022548506,True,1.3619344069156796,1,0,0
ER,0.003,5000,37187,3817,3817,1.0,True,0.02372207900043577,3913,1.0251506418653393,True,0.05114546697586775,3913,1.0251506418653393,True,1.1587518100859597,1,0,0
ER,0.003,5000,37294,3808,3808,1.0,True,0.024634415982291102,3904,1.0252100840336134,True,0.049277631915174425,4012,1.0535714285714286,True,1.2613572400296107,1,0,0
ER,0.003,5000,37694,3835,3835,1.0,True,0.024118218920193613,3944,1.0284224250325946,True,0.050915619009174407,4026,1.0498044328552802,True,1.3669791829306632,1,0,0
