inst_id,graph_type,num_nodes,param,num_edges,milp_ref,cover_size,ratio,is_optimal,H_mean,H_std,H_first,H_last,H_slope,H_integral,D_kl_mean,MI_consec,n_steps
13,ER,4,0.5,3,2,2,1.0,True,0.9927379167202708,0.00726208327972927,0.9854758334405415,1.0,0.0,0.4963689583601354,0.010067385100671806,0.0,2
14,ER,4,0.5,6,3,3,1.0,True,1.0,1.2819751242557092e-16,1.0,1.0,0.0,0.6666666666666666,1.2335826261745891e-17,0.6931471805599453,3
15,ER,4,0.5,3,2,2,1.0,True,0.9927379167204784,0.007262083279521547,0.9854758334409569,1.0,0.0,0.4963689583602392,0.010067385100383679,0.0,2
16,ER,4,0.5,3,2,2,1.0,True,0.9927379167204784,0.007262083279521547,0.9854758334409569,1.0,0.0,0.4963689583602392,0.010067385100383679,0.0,2
17,ER,4,0.5,4,2,2,1.0,True,0.9873664399153443,0.012633560084655715,0.9747328798306886,1.0,0.0,0.49368321995767217,0.0175138331062275,0.0,2
18,ER,4,0.5,4,2,2,1.0,True,0.9873664399153383,0.012633560084661655,0.9747328798306767,1.0,0.0,0.4936832199576692,0.017513833106235888,0.0,2
19,ER,4,0.5,4,2,2,1.0,True,0.9873664399154237,0.012633560084576279,0.9747328798308474,1.0,0.0,0.49368321995771186,0.017513833106117475,0.0,2
20,ER,4,0.7,4,2,2,1.0,True,0.9873664399153443,0.012633560084655715,0.9747328798306886,1.0,0.0,0.49368321995767217,0.0175138331062275,0.0,2
21,ER,4,0.7,4,2,2,1.0,True,0.987366439915196,0.01263356008480404,0.9747328798303919,1.0,0.0,0.493683219957598,0.017513833106433195,0.0,2
22,ER,4,0.7,6,3,3,1.0,True,1.0,1.2819751242557092e-16,1.0,1.0,0.0,0.6666666666666666,1.2335826261745891e-17,0.6931471805599453,3
23,ER,4,0.7,6,3,3,1.0,True,1.0,1.2819751242557092e-16,1.0,1.0,0.0,0.6666666666666666,1.2335826261745891e-17,0.6931471805599453,3
24,ER,4,0.7,6,3,3,1.0,True,1.0,1.2819751242557092e-16,1.0,1.0,0.0,0.6666666666666666,1.2335826261745891e-17,0.6931471805599453,3
25,ER,4,0.7,4,2,2,1.0,True,0.9873664399153443,0.012633560084655715,0.9747328798306886,1.0,0.0,0.49368321995767217,0.0175138331062275,0.0,2
26,ER,4,0.7,4,2,2,1.0,True,0.9873664399153443,0.012633560084655715,0.9747328798306886,1.0,0.0,0.49368321995767217,0.0175138331062275,0.0,2
27,ER,4,0.7,6,3,3,1.0,True,1.0,1.2819751242557092e-16,1.0,1.0,0.0,0.6666666666666666,1.2335826261745891e-17,0.6931471805599453,3
28,ER,4,0.7,4,2,2,1.0,True,0.9873664399153383,0.012633560084661655,0.9747328798306767,1.0,0.0,0.4936832199576692,0.017513833106235888,0.0,2
29,ER,4,0.7,5,2,2,1.0,True,0.9695054056012414,0.023108803586239568,0.992614209187481,0.9463966020150019,0.0,0.4847527028006207,0.03456411594824619,0.0,2
30,ER,9,0.3,16,5,5,1.0,True,0.9859120292834541,0.009612652218881908,0.9944020765631172,1.0,0.00048434613190728726,0.7864718216271425,0.0247355063484374,1.3862943611198906,5
31,ER,9,0.3,16,5,5,1.0,True,0.9859120292834541,0.009612652218881908,0.9944020765631172,1.0,0.00048434613190728726,0.7864718216271425,0.0247355063484374,1.3862943611198906,5
32,ER,9,0.3,13,4,4,1.0,True,0.9753412501123969,0.016879161269271113,0.9836455879349123,0.9463966020150019,-0.011804909332509318,0.7340859763686577,0.03618552902571793,1.0986122886681096,4
33,ER,9,0.3,13,4,4,1.0,True,0.9753412501123969,0.016879161269271113,0.9836455879349123,0.9463966020150019,-0.011804909332509318,0.7340859763686577,0.03618552902571793,1.0986122886681096,4
34,ER,9,0.3,13,4,4,1.0,True,0.9753412501123969,0.016879161269271113,0.9836455879349123,0.9463966020150019,-0.011804909332509318,0.7340859763686577,0.03618552902571793,1.0986122886681096,4
35,ER,9,0.3,13,5,5,1.0,True,0.9921544155248769,0.005394887209752139,0.988593660275532,1.0,0.0018388552657131242,0.7932950494973238,0.01399936174946334,1.3862943611198906,5
