instance_id,graph_type,num_nodes,is_optimal,step,vertex,prob,delta,spectral_gap,n_active
40,ER,9,True,1,2,4.833249595603828e-05,6.666477432193396e-06,0.37908037917367904,8
40,ER,9,True,2,4,4.166600019817057e-05,5.2082338442005494e-11,0.5124118730374687,6
40,ER,9,True,3,8,5.8332106492864355e-05,1.6666122691022522e-05,0.7712864461218306,5
40,ER,9,True,4,3,9.999666671156593e-05,4.9997708366444904e-05,0.9999999999999999,3
41,ER,9,True,0,1,2.0039467404253664e-05,1.3321930686371886e-06,0.7526153377958869,9
41,ER,9,True,1,4,2.277751044388321e-05,0.0,0.7046886006530286,8
41,ER,9,True,2,6,2.9666271211037376e-05,9.027667502436998e-12,0.6160469290240619,7
41,ER,9,True,3,5,4.9999088549745885e-05,1.0416410592628544e-05,0.5171947889901971,6
41,ER,9,True,4,7,4.4443662557069885e-05,0.0,0.9999999999999999,4
41,ER,9,True,5,8,9.999666671134388e-05,4.9997708366000815e-05,0.9999999999999999,3
42,ER,9,True,0,6,2.7916331184596466e-05,8.333060573795237e-07,0.4468816206089308,9
42,ER,9,True,1,7,3.472171618179587e-05,3.472115605140935e-06,0.48720073797788216,8
42,ER,9,True,2,5,6.66651543353991e-05,1.1110689305149357e-05,0.23925970979839978,7
42,ER,9,True,3,8,5.555444445493052e-05,1.666618056139768e-05,0.5657414540893356,5
42,ER,9,True,4,0,4.999906250702235e-05,2.220446049250313e-16,1.4999999999999996,3
42,ER,9,True,5,4,9.999666671134388e-05,2.220446049250313e-16,2.0,2
43,ER,9,True,0,6,3.611059741892575e-05,8.333631936752184e-07,0.5123008978105368,9
43,ER,9,True,1,3,4.777691592827704e-05,1.1110806973357867e-05,0.5396643587781195,8
43,ER,9,True,2,5,6.249864584606524e-05,5.2081561285888256e-11,0.3399941332768387,6
43,ER,9,True,3,1,6.666511575648126e-05,2.499913195463943e-05,0.7712864461218314,4
43,ER,9,True,4,7,9.999666671134388e-05,2.220446049250313e-16,2.0,2
44,ER,9,True,0,0,3.194399792993963e-05,2.777485635929722e-07,0.5915577311032927,9
44,ER,9,True,1,8,4.8999137381877667e-05,1.3332992734760296e-05,0.4506844768097972,8
44,ER,9,True,2,1,5.4165598003197424e-05,1.3888268395323422e-06,0.5256893096129948,6
44,ER,9,True,3,5,7.49980208569756e-05,6.661338147750939e-16,0.49999999999999994,4
44,ER,9,True,4,7,9.999666671134388e-05,2.220446049250313e-16,2.0,2
45,ER,9,True,0,7,3.444397749829964e-05,1.111088091532153e-06,0.5253169556613057,9
45,ER,9,True,1,8,4.5832576201720876e-05,6.944278228782075e-06,0.4746442973235504,8
45,ER,9,True,2,6,4.44436574148499e-05,5.5553729448876155e-06,0.7257081148225681,6
45,ER,9,True,3,4,6.11097968229446e-05,2.220446049250313e-16,0.5657414540893351,5
45,ER,9,True,4,5,9.999666671134388e-05,4.9997708366000815e-05,0.9999999999999999,3
46,ER,9,True,0,6,3.333291345430922e-05,1.3889072144612769e-06,0.4737246958239448,9
46,ER,9,True,1,4,4.1666006757035134e-05,6.388757730957373e-06,0.4861526830556176,8
46,ER,9,True,2,7,4.666582500634231e-05,6.666436113467178e-06,0.46721257303981223,6
